A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,"Nehemiah 3:1, 6:15",Eliashib Begins Building the Sheep Gate,"This is the first day of fifty-two days needed to complete the rebuilding of the Jerusalem Wall under Nehemiah's direction. This date is calculated from the date the Wall is completed on Sunday, September 8−Elul 25 as recorded in Nehemiah 6:15. The fourth day of rebuilding the Jerusalem Wall, Monday, July 21−Av 7, would mark the seventy-first anniversary of the first day of the burning of the Jerusalem Temple in 526 BC according to Jeremiah 52:12-16. On this day in 526 BC, the Jerusalem Wall was also destroyed by the Babylonian army. The fourth day of rebuilding the Jerusalem Wall would trigger the beginning of Daniel’s Seventy Weeks prophecy recorded in Daniel 9:20-27. This current date of Friday, July 18−Av 4, marked the very day, ""when seventy years are completed"" that Jeremiah spoke of in Jeremiah 25:12 (70 years plus 359 days).",DIS,275,3659,1332154,Friday,July,18,Av,4,455,BC,Friday,February,13,Shevat,24,453,BC,L,117,1556012.75,0,1,3.79999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Daniel 9:25,Daniel's 70 Weeks Prophecy Begins on Day #4,"This July 21 – Av 7 date in 455 BC is Day #4 of the rebuilding of the Wall around Jerusalem and is the start of Daniel’s 70 Weeks prophecy. 450 years and 90 days from this date is Sunday, October 20, 5 BC. This date is the birth of Jesus and is exactly 4,096 solar years from Day #7 of Creation in 4,101 BC. According to Scripture, there are 4,096 years from Creation Week until the birth of Jesus. This July 21 – Av 7 date also marks “seventy completed years” (Jeremiah 25:11-12) from the time the Temple starts burning in 526 BC, according to 2 Kings 25:8-9.",DIS,278,3659,1332157,Monday,July,21,Av,7,455,BC,Monday,February,16,Shevat,27,453,BC,L,120,1556015.75,0,3,3.79999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Nehemiah 6:15,The Jerusalem Wall is Completed in Fifty-Two Days,"Exactly 480 years from this date in 26 AD, Jesus walks down to the River Jordon and is baptized by John the Baptist. In 26 AD, this Elul 25 date precedes the Temptations of Jesus in the Wilderness and is forty-two days before His thirtieth birthday, in the fifteenth year of Tiberius.",DIS,326,3659,1332205,Sunday,September,8,Elul,25,455,BC,Sunday,April,4,Nisan,15,453,BC,L,168,1556063.75,0,48,3.79999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Nehemiah 8:1-12,Ezra Reads The Law From Morning to Midday,"This is a very important occasion in the history of Israel. The first day of Tishri is designated as the Feast of Trumpets according to Leviticus 23:23-25. Leviticus makes it clear that this is a Sabbath-rest and no work is to be done. Leviticus 23:32 makes it clear that this day is a Friday since Tishri 10 falls on a Sunday and is the Day of Atonement. This means that two days in a row are to be treated as a Saturday Sabbath. Deuteronomy 31:10-13 requires that there is to be a reading from the Law every seven years. This was the first time since the Exile that this law regarding the Feasts had been followed. The people stood from morning to midday, about three to four hours. During this reading, the Scribes and Levites on the platform explained the meaning of the text.\p The footnotes in the MacArthur Study Bible for Nehemiah 8:1, and most commentaries of this type, date this event around 445 BC instead of 455 BC. The reasoning is that Ezra had arrived in Jerusalem thirteen years earlier, in 458 BC, in the seventh year of the reign of King Artaxerxes (Ezra 7:8). This was now the twentieth year of his reign. This is the first mention of Ezra in the Book of Nehemiah.\p As previously mentioned in the commentary for Haggai 1:12-15 and Ezra 5:1-2, the mention of the presence of Jeshua in 8:7 raises a serious Bible chronology problem. Is this the same Jeshua who attended the Dedication Ceremony in 520 BC which occurred four years before the Temple was completed? The Temple was completed on Adar 3 according to Ezra 6:15 in the sixth year of the reign of King Darius. The year was 516 to 515 BC according to most study Bibles and commentaries. Adar is the month prior to the month of Nisan. On the first day of the month of Nisan, Ezra leaves Babylon and arrives four months later, according to Ezra 7:7-9. It appears from the text that Ezra left the month after the Temple was completed. Current Bible chronology inserts fifty-seven years between the completion of the Temple (515 BC to 516 BC) and the return of Ezra in the year 458 BC. No explanation from Scripture, or any other source, could be found by the author of this research for this insertion of over fifty-seven years into the Biblical text.",DIS,331,3659,1332210,Friday,September,13,Tishri,1,455,BC,Friday,April,9,Nisan,20,453,BC,L,173,1556068.75,0,5,3.79999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Nehemiah 8:13-14,The Law of Feast of Tabernacles is Discovered,,DIS,332,3659,1332211,Saturday,September,14,Tishri,2,455,BC,Saturday,April,10,Nisan,21,453,BC,L,174,1556069.75,0,1,3.79999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Nehemiah 8:15-18,Israel Celebrates Feast of Tabernacles Tishri 15-22,This is the first day of the Feast of Tabernacles (Booths).,Feast Date,345,3659,1332224,Friday,September,27,Tishri,15,455,BC,Friday,April,23,Iyar,4,453,BC,L,187,1556082.75,0,13,3.79999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Nehemiah 8:18,A Sacred Assembly Held on Eighth Day of Feast,This is the last day of the Feast of Tabernacles (Booths).,Feast Date,352,3659,1332231,Friday,October,4,Tishri,22,455,BC,Friday,April,30,Iyar,11,453,BC,L,194,1556089.75,0,7,3.79999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Nehemiah 9:1-38,The People Confess Their Sin,"On this day men also separated from their foreign wives. This had been done thirteen years earlier with Ezra, according to Ezra 10.",DIS,354,3659,1332233,Sunday,October,6,Tishri,24,455,BC,Sunday,May,2,Iyar,13,453,BC,L,196,1556091.75,0,2,3.79999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Nehemiah 5:14,The End of Nehemiah's Time as Governor,This is a very important DFC date in Scripture. This marks the thirty-second DFC year of Artaxerxes and the end of Nehemiah's twelve years as Governor.,DFC,6,3672,1336617,Tuesday,October,22,Heshvan,2,443,BC,Tuesday,May,3,Iyar,14,441,BC,L,197,1560475.75,12,16,6.39999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Calculated Date from History and Scripture,The End of the Fifty-One Year Reign of Artaxerxes,The accurate dating of the end of the reign of Artaxerxes is critical to dating the events at the end of the Babylonian Exile and Daniel’s 70 Weeks prophecy.,Extra-Biblical,70,3691,1343597,Wednesday,December,25,Tevet,6,424,BC,Wednesday,June,13,Sivan,24,422,BC,N,236,1567455.75,19,64,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Calculated Date from History and Scripture,Darius the Persian Begins Reign,"Darius the Persian, also known as Darius Ochus, reigns from the end of January in 423 BC until 404 BC, according to extra-Biblical sources.",Extra-Biblical,115,3691,1343642,Saturday,February,10,Shevat,22,423,BC,Saturday,July,28,Av,10,422,BC,N,281,1567500.75,0,45,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Nehemiah 12:22,Levite Records Kept During Reign Darius the Persian,"During the Reign of Darius the Persian, the last records of the Priests were kept. The Persian Empire went into decline as a major world power after this period in history.",Extra-Biblical,115,3691,1343642,Saturday,February,10,Shevat,22,423,BC,Saturday,July,28,Av,10,422,BC,N,281,1567500.75,0,0,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Daniel 9:25,End First Seven Weeks of Daniel's Seventy Weeks Prophecy,The restoration of Jerusalem is completed forty-nine years after completing the rebuilding of the Jerusalem Wall under Nehemiah's leadership (5-year rule date-Chap. 12).,PCD,288,3708,1350003,Thursday,August,1,Av,17,406,BC,Thursday,December,26,Tevet,6,405,BC,L,70,1573861.75,17,173,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Daniel 9:25,The Restoration of Jerusalem After the Exile,"The restoration of Jerusalem marks the end of the first “seven weeks” of Daniel’s Seventy Weeks prophecy. Four hundred years from this date, or very close to it, Elizabeth, the wife of Zacharias would conceive John the Baptist as recorded in Luke 1:24. ",PCD,288,3708,1350003,Thursday,August,1,Av,17,406,BC,Thursday,December,26,Tevet,6,405,BC,L,70,1573861.75,0,0,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,Malachi 4:5-6,End of the Old Testament,"The estimated DFC date of the end of the Old Testament is exactly 2052 years after Noah’s family enters the Ark on Wednesday, October 30 - Heshvan 10 in 2458 BC. This is an estimated DFC date for the end of events recorded in the Book of Malachi. Malachi tells about a Prophet like Elijah who would announce the Messiah’s arrival. This messenger would be John the Baptist. CD#14 is the DFC and EDFC date for events happening between 406 BC and 402 BC. From this point in history, the Old Testament goes silent.",DFC,14,3709,1350093,Wednesday,October,30,Heshvan,10,406,BC,Wednesday,March,26,Nisan,4,404,BC,N,157,1573951.75,0,90,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Calculated Date from History and Scripture,Darius the Persian Ends Reign,"This is an estimated date for the end of Darius the Persian’s reign. The end of his reign is given in history but is not stated in Scripture. This last Heshvan 10 date in 404 BC is the last DFC date in the Old Testament. On this same date in 2458 BC, Noah’s family entered the Ark on the first specific date given in Biblical history. See Genesis 7:1-16. CD#14 is the DFC and EDFC date for events happening between 406 BC and 402 BC.",DFC,14,3711,1350821,Wednesday,October,30,Heshvan,10,404,BC,Wednesday,March,24,Nisan,2,402,BC,N,155,1574679.75,2,0,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OT,,End Old Testament,,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT,,Start New Testament,,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Luke 1:5-22,Angel Announces Birth of John the Baptist,"The Priest Zacharias is chosen to burn the incense in front of the veil that divides the Most Holy Place from the Holy Place in the Temple. This high honor, determined by drawing lots, was only given once to a Priest. Because there were so many Priests, many of them never got the honor of performing this important Temple ritual. Zacharias encounters the Angel Gabriel who tells him that his wife, Elizabeth would conceive John the Baptist. When Zacharias asks for verification of the Angel’s message, he is made speechless until the birth of his son, John the Baptist, as a sign that the Angel’s message is true. This Av 7 date is exactly 520 years after the start of the burning of the Jerusalem Temple in 526 BC according to 2 Kings 25:8-10.",EST,278,4108,1495593,Monday,July,21,Av,7,6,BC,Monday,August,7,Av,20,6,BC,N,291,1719451.75,397,264,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Luke 1:23,Zacharias Returns Home After Temple Service,"Zacharias returns home and is now temporarily mute after his encounter with the Angel Gabriel in the Temple in Jerusalem. This Av 10 date is exactly 520 years after end of the burning of the Jerusalem Temple in 526 BC, according to Jeremiah 52:12-16.",EST,281,4108,1495596,Thursday,July,24,Av,10,6,BC,Thursday,August,10,Av,23,6,BC,N,294,1719454.75,0,3,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Luke 1:24-25,Elizabeth Conceives John the Baptist,"This date is 262 days before the calculated birth of John the Baptist on Sunday, April 20, 5 BC. This Av 17 date in 406 BC is exactly 400 years after the precise calculated date (PCD) of the end of Daniel’s first “seven weeks” of his “70 Weeks prophecy”. The end of the first “seven weeks” dates the completion of the rebuilding of Jerusalem. This important date happens during the reign of Darius the Persian, as recorded in Daniel 9:27.",EST,288,4108,1495603,Thursday,August,1,Av,17,6,BC,Thursday,August,17,Av,30,6,BC,N,301,1719461.75,0,7,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Luke 1:26-38,Angel Gabriel Announces Birth of Christ,"This event happens six months (178 days) after the estimated date that John the Baptist is conceived and 266 days before the birth of Jesus on Sunday, October 20, 5 BC.",EST,102,4109,1495781,Sunday,January,27,Shevat,9,5,BC,Sunday,February,11,Shevat,22,5,BC,L,115,1719639.75,0,178,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Luke 1:34-38,Mary is Told Conception is by the Holy Spirit,,EST,102,4109,1495781,Sunday,January,27,Shevat,9,5,BC,Sunday,February,11,Shevat,22,5,BC,L,115,1719639.75,0,0,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Matthew 1:18-19,Joseph Finds Out That Mary is Pregnant,,EST,109,4109,1495788,Sunday,February,4,Shevat,16,5,BC,Sunday,February,18,Shevat,29,5,BC,L,122,1719646.75,0,7,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Matthew 1:24,Joseph Takes Mary as His Wife,,EST,116,4109,1495795,Sunday,February,11,Shevat,23,5,BC,Sunday,February,25,Adar,6,5,BC,L,129,1719653.75,0,7,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Luke 1:39-56,Mary Visits Her Relative Elizabeth,"Mary sings a ""song of praise"" rejoicing in God as Savior. Mary stays with Elizabeth until near the birth of John the Baptist.",EST,126,4109,1495805,Wednesday,February,21,Adar,3,5,BC,Wednesday,March,6,Adar,16,5,BC,L,139,1719663.75,0,10,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Luke 1:57,The Birth of John the Baptist,,EST,186,4109,1495865,Sunday,April,20,Iyar,3,5,BC,Sunday,May,5,Iyar,16,5,BC,L,199,1719723.75,0,60,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Luke 1:59-60,John the Baptist is Circumcised,,EST,194,4109,1495873,Monday,April,28,Iyar,11,5,BC,Monday,May,13,Iyar,24,5,BC,L,207,1719731.75,0,8,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Luke 1:60-66,Zacharias Voice is Restored ,,PCD,194,4109,1495873,Monday,April,28,Iyar,11,5,BC,Monday,May,13,Iyar,24,5,BC,L,207,1719731.75,0,0,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Luke 1:67-80,Zacharias Prophesies About John's Ministry,,PCD,194,4109,1495873,Monday,April,28,Iyar,11,5,BC,Monday,May,13,Iyar,24,5,BC,L,207,1719731.75,0,0,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Matthew 2:1; Luke 2:1-20,The Birth of Jesus in Bethlehem,,PCD,4,4110,1496047,Sunday,October,20,Creation Day,7,5,BC,Sunday,November,3,Heshvan,13,5,BC,L,17,1719905.75,0,174,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Luke 2:21,The Circumcision of Jesus on the Eighth Day,,PCD,12,4110,1496055,Monday,October,28,Heshvan,8,5,BC,Monday,November,11,Heshvan,21,5,BC,L,25,1719913.75,0,8,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Luke 2:22-24,Purification of Mary Forty Days After Son's Birth,,PCD,44,4110,1496087,Friday,November,29,Kislev,10,5,BC,Friday,December,13,Kislev,23,5,BC,L,57,1719945.75,0,32,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Luke 2:25-35,Simeon's Prophecy Regarding Jesus,,ESDIS,44,4110,1496087,Friday,November,29,Kislev,10,5,BC,Friday,December,13,Kislev,23,5,BC,L,57,1719945.75,0,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Luke 2:36-38,Testimony of Anna the Prophetess,,ESDIS,44,4110,1496087,Friday,November,29,Kislev,10,5,BC,Friday,December,13,Kislev,23,5,BC,L,57,1719945.75,0,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Matthew 2:1-8,Wisemen Meet With Herod in Jerusalem ,,ESDIS,55,4110,1496098,Tuesday,December,10,Kislev,21,5,BC,Tuesday,December,24,Tevet,4,5,BC,L,68,1719956.75,0,11,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Matthew 2:9-10,Wisemen Follow the Star to Bethlehem,,ESDIS,56,4110,1496099,Wednesday,December,11,Kislev,22,5,BC,Wednesday,December,25,Tevet,5,5,BC,L,69,1719957.75,0,1,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Matthew 2:11,Wisemen Worship Jesus and Present Gifts,It is interesting to note that this day on the Gregorian calendar is December 25.,ESDIS,56,4110,1496099,Wednesday,December,11,Kislev,22,5,BC,Wednesday,December,25,Tevet,5,5,BC,L,69,1719957.75,0,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Matthew 2:12,Wiseman Warned Not to Return to Herod,,ESDIS,57,4110,1496100,Thursday,December,12,Kislev,23,5,BC,Thursday,December,26,Tevet,6,5,BC,L,70,1719958.75,0,1,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Matthew 2:13-14,Joseph Instructed to Flee to Egypt,,ESDIS,57,4110,1496100,Thursday,December,12,Kislev,23,5,BC,Thursday,December,26,Tevet,6,5,BC,L,70,1719958.75,0,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Matthew 2:16-18,Herod's Troops Kill Babies Under Two Years Old,,Extra-Biblical,58,4110,1496101,Friday,December,13,Kislev,24,5,BC,Friday,December,27,Tevet,7,5,BC,L,71,1719959.75,0,1,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Matthew 2:13-14,"Jesus, Mary and Joseph Arrive in Egypt",Estimated arrival date is the same date as Jacob meeting with Pharaoh in Egypt in 1875 BC.,EST,84,4110,1496127,Wednesday,January,9,Tevet,20,4,BC,Wednesday,January,22,Shevat,1,4,BC,N,94,1719985.75,0,26,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Matthew 2:19,Death of Herod the Great,The Julian date of March 13 in 4 BC is commonly given as the date in history for the death of Herod the Great. March 11 on the Gregorian calendar is the same as March 13 on the Julian calendar in 4 BC.,EST,132,4110,1496175,Tuesday,February,27,Adar,9,4,BC,Tuesday,March,11,Adar,19,4,BC,N,142,1720033.75,0,48,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Matthew 2:19-20,Joseph Instructed to Return Family to Israel,,EST,170,4110,1496213,Friday,April,4,Nisan,17,4,BC,Friday,April,18,Nisan,27,4,BC,N,180,1720071.75,0,38,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Matthew 2:21,"Joseph, Mary and Jesus Arrive in Israel",,EST,198,4110,1496241,Friday,May,2,Iyar,15,4,BC,Friday,May,16,Iyar,25,4,BC,N,208,1720099.75,0,28,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Matthew 2:22,Jesus and His Family Change Direction Toward Galilee,,Sol-Passover,200,4110,1496243,Sunday,May,4,Iyar,17,4,BC,Sunday,May,18,Iyar,27,4,BC,N,210,1720101.75,0,2,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Matthew 2:23; Luke 2:39-40,Jesus and His Family Settle in Nazareth,,ESDIS,212,4110,1496255,Friday,May,16,Iyar,29,4,BC,Friday,May,30,Sivan,10,4,BC,N,222,1720113.75,0,12,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Luke 2:41-42,Nisan 14 Passover of Jesus at Twelve Years Old,"In the Old Testament, Nisan 14 Passover always falls on a Tuesday. The Nisan 14 Passover date, in the New Testament, becomes an example of an exact known solar date from Creation (SDFC). In the New Testament, we are now dealing with a solar calendar. Starting in 1 AD, a solar-Passover dated event falls on Nisan 14 Passover and can always be accurately placed on the Gregorian-Hebrew calendar. Nisan 14 Passover will always fall on April 5 on the Gregorian calendar in a non-leap year. Nisan 14 will always fall on April 3 in a leap year. In the year 30 AD, Nisan 14 falls on a Friday and is the day of the crucifixion of Jesus.",ESDIS,172,4122,1500583,Sunday,April ,6,Nisan,19,9,AD,Sunday,April,5,Nisan,14,9,AD,N,167,1724441.75,11,324,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Luke 2:43-50,Jesus is Found With Teachers in the Temple,It is estimated that this event happened six days after the end of the Feast of Unleavened Bread that ends on Nisan 22 on the Gregorian-Hebrew calendar.,Extra-Biblical,186,4122,1500597,Sunday,April,20,Iyar,3,9,AD,Sunday,April,19,Nisan,28,9,AD,N,181,1724455.75,0,14,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Luke 2:51-52,Jesus and Family Return to Nazareth,,ESDIS,191,4122,1500602,Friday,April,25,Iyar,8,9,AD,Friday,April,24,Iyar,3,9,AD,N,186,1724460.75,0,5,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Date From History,Tiberius Begins Three Year Joint Reign With Augustus,Several sources confirm this date and year. Coins stamped in 12 AD show a picture of Tiberius as Emperor in the first of his three years of a joint reign with Augustus. This would make the fifteenth year of his reign and the year of the baptism of Jesus in the late summer or fall of 26 AD. The Roman reigns normally start on July 1 on the Julian calendar. June 29 on the Gregorian calendar is the same day as July 1 on the Julian calendar in 11 AD.,PCD,259,4124,1501398,Wednesday,July,2,Tammuz,17,11,AD,Wednesday,June,29,Tammuz,10,11,AD,N,252,1725256.75,2,68,96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Matthew 3:1-12; Mark 1:1-8; Luke 3:1-20; John 1:19-28,John the Baptist Begins Preaching Ministry at Thirty,"This is the estimated thirtieth birthday of John the Baptist. This date is exactly six months before the calculated date of the thirtieth birthday of Jesus on Sunday, October 20, of the same year.",PCD,186,4139,1506785,Sunday,April,20,Iyar,3,26,AD,Sunday,March,29,Nisan,7,26,AD,N,160,1730643.75,14,291,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Matthew 3:13-17; Mark 1:9-11; Luke 3:21-22; John 1:32-34,The Baptism of Jesus at the River Jordon,The baptism of Jesus happens exactly 480 years after the completion of the Jerusalem Wall on Elul 25 in 455 BC (Nehemiah 6:15). This event also occurs forty-two days before the thirtieth birthday of Jesus in the fifteenth year of the reign of Tiberius.,EST,326,4139,1506925,Sunday,September,8,Elul,25,26,AD,Sunday,August,16,Av,29,26,AD,N,300,1730783.75,0,140,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Matthew 4:1-11; Mark 1:12-13; Luke 4:1-2,Night Number One of Forty in the Wilderness,,EST,327,4139,1506926,Monday,September,9,Elul,26,26,AD,Monday,August,17,Av,30,26,AD,N,301,1730784.75,0,1,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Matthew 4:3-4; Luke 4:3-4,Satan Temps Jesus to Turn Stones to Bread,Jesus quotes Deuteronomy 8:3.,EST,338,4139,1506937,Friday,September,20,Tishri,8,26,AD,Friday,August,28,Elul,11,26,AD,N,312,1730795.75,0,11,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Matthew 4:5-7; Luke 4:9-12,Satan Temps Jesus to Jump From Top of Temple,"Satan quotes Psalms 91:11-12. Jesus quotes Deuteronomy 6:16. Moses raises question of ""tempting the Lord"" in Exodus 17:2.",EST,350,4139,1506949,Wednesday,October,2,Tishri,20,26,AD,Wednesday,September,9,Elul,23,26,AD,N,324,1730807.75,0,12,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Matthew 4:8-11; Luke 4:5-8,Satan Temps Jesus With World's Kingdoms,Jesus quotes from Deuteronomy 6:13 and Exodus 34:14. Jesus commands Satan in the same manner in Matthew 16:23 and Mark 8:33.,EST,362,4139,1506961,Monday,October,14,Creation Day,1,26,AD,Monday,September,21,Tishri,6,26,AD,N,336,1730819.75,0,12,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Matthew 4:11; Luke 4:13,Satan Temporarily Departs After Temptations,,PCD,362,4139,1506961,Monday,October,14,Creation Day,1,26,AD,Monday,September,21,Tishri,6,26,AD,N,336,1730819.75,0,0,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Matthew 4:11; Mark 1:13,Angels Minister to Jesus After Satan Departs,,PCD,362,4139,1506961,Monday,October,14,Creation Day,1,26,AD,Monday,September,21,Tishri,6,26,AD,N,336,1730819.75,0,0,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Luke 4:2, 14",Jesus Fasts Forty Days and Returns to Galilee,"Moses also fasted forty days as recorded in Deuteronomy 9:9, 18. Elijah fasted for forty days, according to I Kings 19:8.",EST,2,4140,1506965,Friday,October,18,Creation Day,5,26,AD,Friday,September,25,Tishri,10,26,AD,N,340,1730823.75,0,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Luke 3:1, 23",Jesus Turns Thirty Years Old in Fifteenth Year of Tiberius,The thirtieth birthday of Jesus occurs two days after he returns from the Temptations in the Wilderness. This event is in the fifteenth year of the reign of Tiberius.,EST,4,4140,1506967,Sunday,October,20,Creation Day,7,26,AD,Sunday,September,27,Tishri,12,26,AD,N,342,1730825.75,0,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,John 1:29-34,John Tells About Events at the Baptism of Jesus,John the Baptist tells his disciples about the events of the Baptism of Jesus that had happened forty-two days earlier. This date marks the estimated thirtieth birthday of Jesus. It seems that it may have a custom for a Prophet to start at the age of thirty. Ezekiel began at the age of thirty according to Ezekiel 1:1. King David began his forty year reign as King of Israel at the age of thirty according to 2 Samuel 5:4.,EST,4,4140,1506967,Sunday,October,20,Creation Day,7,26,AD,Sunday,September,27,Tishri,12,26,AD,N,342,1730825.75,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,John 1:35-36,John the Baptist Talks to Two of His Disciples,,EST,5,4140,1506968,Monday,October,21,Heshvan,1,26,AD,Monday,September,28,Tishri,13,26,AD,N,343,1730826.75,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,John 1:37-39,Andrew and James Leave John and Follow Jesus,"""Now it was about the tenth hour"" means it was about 4:00 p.m. in the afternoon.",EST,5,4140,1506968,Monday,October,21,Heshvan,1,26,AD,Monday,September,28,Tishri,13,26,AD,N,343,1730826.75,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
